text,class
A good film by a great director!  ,1
We watched our waiter pay a lot more attention to other tables and ignore us.,0
Always a pleasure dealing with him.,1
This is infuriating.,0
All of the tapas dishes were delicious!,1
"I started this review with two stars, but I'm editing it to give it only one.",0
It definitely was not as good as my S11.,1
"I gave it 5 stars then, and I'm giving it 5 stars now.",1
I thought it was bad.  ,0
This movie is also revealing.  ,1
Waited and waited and waited.,0
The roast beef sandwich tasted really good!,1
Then the film just dropped the ball.  ,0
"Friend's pasta -- also bad, he barely touched it.",0
They know how to make them here.,1
The construction of the headsets is poor.,0
"If you hate earbugs, avoid this phone by all means.",0
It'll be a regular stop on my trips to Phoenix!,1
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",0
And then tragedy struck.,0
"The menu is always changing, food quality is going down & service is extremely slow.",0
Worst hour and a half of my life!Oh my gosh!  ,0
Its the best headset I have used.,1
"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",0
2 times - Very Bad Customer Service !,0
Their steaks are 100% recommended!,1
there are so many problems i dont know where to start.  ,0
The basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew.  ,0
"I really recommend this faceplates since it looks very nice, elegant and cool.",1
"Very true to Shakespear, and a 'must' for all Shakespear fans.  ",1
I could not recommend these more.,0
Constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations.  ,1
"Probably never coming back, and wouldn't recommend it.",0
"Good value, great food, great service.",1
"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",0
She was quite disappointed although some blame needs to be placed at her door.,0
"The microphone also works well, but (according to people I have called) it applifies everything.",1
Great Phone.,1
The grilled chicken was so tender and yellow from the saffron seasoning.,1
Not nearly as good looking as the AMAZON picture makes it look.,0
"It is well made, easy to access the phone and has a handy, detachable belt clip.",1
this is the worst sushi i have ever eat besides Costco's.,0
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1
Their rotating beers on tap is also a highlight of this place.,1
My gyro was basically lettuce only.,0
It's so bad it's actually worth seeing just for that reason.  ,0
Both do good jobs and are quite amusing.  ,1
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0
Love this product.,1
"All in all, I'd expected a better consumer experience from Motorola.",0
You won't be disappointed.,1
This frog phone charm is adorable and very eye catching.,1
I hate writing bad reviews about films - especially those in which I really like the star - but this film is so bad I don't believe for one second that anyone could have been proud of it.  ,0
"Good service, very clean, and inexpensive, to boot!",1
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1
It was absolutely amazing.,1
I bought it for my mother and she had a problem with the battery.,0
Terrible phone holder.,0
The staff was very attentive.,1
what a disappointment,0
He deserves 5 stars.,1
Crust is not good.,0
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1
They keep getting better and better (this is my third one and I've had numerous Palms too).,1
This was like the final blow!,0
"Great food for the price, which is very high quality and house made.",1
They were excellent.,1
"All in all, a great disappointment.  ",0
Cooked to perfection and the service was impeccable.,1
Both great!,1
It's a long time since I was so entertained by a movie.  ,1
Blue Ant is easy to use.,1
"I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.  ",0
"I know he was a contract player with little control over his scripts, but the acting was as bad as the script.  ",0
"sucked, most of the stuff does not work with my phone.",0
It was delicious!!!,1
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1
"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",1
I purchased this and within 2 days it was no longer working!!!!!!!!!,0
I had to walk out of the theatre for a few minutes just to get some relief!  ,0
CONCLUSION: Very filling meals.,1
We had 7 at our table and the service was pretty fast.,1
The speaker is of low quality so as making the ring tones sound very cheap.,0
I got home to see the driest damn wings ever!,0
"The acting was bad, the dialogs were extremely shallow and insincere.  ",0
"The seller is very understanding and patient, I would definitely buy from them again.",1
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0
"God, and I can never get that 90 minutes back!  ",0
It's a feel-good film and that's how I felt when I came out of the cinema!  ,1
Not impressed.,0
"This movie is a solid example of a bad plot and a very, very bad idea all the way.  ",0
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0
Plantronics Bluetooth Excelent Buy.,1
It was just not a fun experience.,1
The crêpe was delicate and thin and moist.,1
"Lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.  ",1
Omelets are to die for!,1
"But if you liked movies like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing experience this film will give you.  ",1
OMG I felt like I had never eaten Thai food until this dish.,1
Easy to use.,1
This is an excellent film.  ,1
Perabo has a nice energy level and is obviously very comfortable in front of a camera.  ,1
"Still, it was the SETS that got a big ""10"" on my ""oy-vey"" scale.  ",1
Razr Battery - Good buy.,1
New Battery works great in phone.,1
"If you do watch it, however, there are small consolations: The actresses playing Anne's sisters each do a wonderful job with their roles.  ",1
Also great directing and photography.  ,1
"Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one.  ",0
Jawbone Era is awesome too!,1
(very serious spoilers) this movie was a huge disappointment.  ,0
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1
The goat taco didn't skimp on the meat and wow what FLAVOR!,1
There is a brilliant twist ending.  ,1
This is a disgrace.,0
I won't be back.,0
I have always used corded headsets and the freedom from the wireless is very helpful.,1
Very disappointing!!!,0
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1
"Tom Wilkinson's character is a man who is not prepared for the ordeal that is about to begin, but he takes the matter in hand as the story progresses, and this great actor gives a performance that makes you feel the character's anguish and suffering.  ",1
I just got bored watching Jessice Lange take her clothes off!  ,0
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1
I struggle to find anything bad to say about it.  ,1
I can take a little bad service but the food sucks.,0
The instructions didn't explain that a microphone jack could be used.,0
The Veggitarian platter is out of this world!,1
Any grandmother can make a roasted chicken better than this one.,0
This place deserves one star and 90% has to do with the food.,0
I'll definitely be in soon again.,1
The only place good for this film is in the garbage.  ,0
Check it out.,1
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.  ",1
"Good product, good seller.",1
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0
"Hackneyed writing, certainly, but made even worse by the bad directing.  ",0
This is simply the BEST bluetooth headset for sound quality!,1
The RI style calamari was a joke.,0
It always cuts out and makes a beep beep beep sound then says signal failed.,0
The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,1
"Characters are one-dimensional, even the good guys and especially the bad guys.  ",0
My sashimi was poor quality being soggy and tasteless.,0
"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",1
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,0
The last 3 times I had lunch here has been bad.,0
I don't have to be an accountant to know I'm getting screwed!,0
This show is made for Americans - it is too stupid and full with hatred and clichés to be admitted elsewhere.  ,0
All in all I think it was a good investment.,1
We asked for the bill to leave without eating and they didn't bring that either.,0
And the sound quality is great.,1
"It is a film about nothing, just a pretext to show ridiculous action scenes.  ",0
Eclectic selection.,1
"Easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).  ",1
"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0
"You can't relate with them, hell you barely can understand them.  ",0
The replacement died in a few weeks.,0
A good time!,1
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0
If you are Razr owner...you must have this!,1
"This hole in the wall has great Mexican street tacos, and friendly staff.",1
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1
"Good show, Samsung.",1
"It was a bit too sweet, not really spicy enough, and lacked flavor.",0
"After one bite, I was hooked.",1
The movie is terribly boring in places.  ,0
I love the decor with the Chinese calligraphy wall paper.,1
Cant get the software to work with my computer.,0
Highly unrecommended.  ,0
Really good product.,1
"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",1
"Unfortunately, it only set us up for disapppointment with our entrees.",0
"Overall, I like there food and the service.",1
the charger worked for about a week and then completely stopped charging my phone.,0
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1
"You get incredibly fresh fish, prepared with care.",1
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,0
Items stated as included from the description ARE NOT INCLUDED.,0
The BT headset was such a disapoinment.,0
We have gotten a lot of compliments on it.,1
REALLY UGLY.,0
"A truly, truly bad film.  ",0
